OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,DESCRIPTION,X,Y,LATITUDE,LONGITUDE
129,220,CCTV,1100 block of Pennsylvania Ave NW,MPD, , , , , , , , , , , , , ,Homeland Security,397618.18359976,136317.6504001,38.894703,-77.027456
130,221,CCTV,1000 block of Nineteenth St North,MPD, , , , , , , , , , , , , ,Homeland Security,394035.44200013,136610.26819921,38.897322,-77.068758
131,222,CCTV,1000 block of Jefferson Dr SW,MPD, , , , , , , , , , , , , ,Homeland Security,397790.37519909,135667.87150101,38.88885,-77.025469
132,223,CCTV,500 block of North Capitol St NW,MPD, , , , , , , , , , , , , ,Homeland Security,399211.1148011,136539.34740071,38.896703,-77.009094
133,224,CCTV,300 block of Independence Ave SW,MPD, , , , , , , , , , , , , ,Homeland Security,398717.43179938,135462.63570119,38.887003,-77.014783
134,225,CCTV,700 block of 18th St NW,MPD, , , , , , , , , , , , , ,Homeland Security,396317.95529958,136845.99109931,38.899458,-77.042447
135,227,Gibbs Elementary School,500 19TH STREET NE,DCPS,1999,1,0,0,1,2,3,11,0,14,14,14,0,DCPS,401946.86949546,136540.64000433,38.89671284,-76.97755715
136,228,Langdon Elementary School,1900 EVARTS STREET NE,DCPS,2003,0,1,0,1,1,5,9,0,14,17,32,18,DCPS,401987.32050211,139647.88000421,38.92470383,-76.97708185
137,229,Orr Elementary School,2200 MINNESOTA AVENUE SE,DCPS,2003,0,1,0,1,1,3,11,0,14,14,32,18,DCPS,402214.2305011,133774.83999943,38.87179682,-76.97448401
138,42,CCTV- 42,17th St and Benning Rd NE,DDOT,,,,,,,,,,,,,,DDOT CCTV,401794.8234,136847.2364,38.899455,-76.979284
139,231,V Street HQ,3535 V Street NE,DCPS,1999, , , , , ,5,27, , ,32, , , ,403707.07049801,138929.8300015,38.91822983,-76.95725325
140,232,Young Elementary School,820 26TH STREET NE,DCPS,1999,2,0,0,2,2,2,12,0,14,14,28,14,DCPS,402496.78049941,137030.93000425,38.90112816,-76.97121618
141,233,Spingarn Center @ Spingarn Senior High School,2500 BENNING ROAD NE,DCPS, , , , , , ,4,24, , ,28, , ,DCPS,402516.70049841,136805.14999956,38.8990942,-76.97098736
142,234,Spingarn STAY Senior High School,2500 BENNING ROAD NE,DCPS, , , , , , , , , , , , , ,DCPS,402516.70049841,136805.14999956,38.8990942,-76.97098736
